# trench                lon_min  lon_max   lat_min  lat_max   nodes
1_Aleutian                164.00   214.50    51.00    59.30      14
10_Philippine             125.30   127.30     3.80    13.50      11
11_New_Britain            147.30   153.00    -7.20    -6.00       7
12_San_Cristobal          155.00   163.50   -11.60    -7.60       7
13_Vityaz                 164.00   170.00   -12.60    -9.80       5
14_New_Hebrides           165.50   172.50   -22.40   -11.80      10
15_Tonga                  185.00   187.00   -24.60   -14.80       9
16_Kermadec               179.20   184.80   -37.00   -25.50      11
17_Hikurangi              175.50   179.30   -42.80   -37.30       7
18_Puysegur               163.80   166.80   -50.20   -45.20       6
19_Middle_America         254.30   276.50     8.40    19.80      14
2_Kuril-Kamchatka         144.60   163.20    41.00    55.60      13
20_Peru-Chile             279.00   289.00   -46.50     4.50      27
3_Japan                   141.50   144.60    34.20    40.90       9
4_Izu-Bonin               141.60   143.20    24.20    34.10      11
5_Mariana                 140.50   147.70    11.30    24.30      14
6_Yap                     137.40   139.60     7.90    10.90       5
7_Palau                   134.60   135.10     5.20     8.30       5
8_Ryukyu                  121.50   131.80    22.20    31.00      11
9_Manila                  119.20   120.50    13.50    21.00       9
